seed,mode,agent_idx,cons,sec_count,n_sec_types,utility,tat_iters,converged
1,correlated,1,299,242,10,12.066546524179746,500,false
1,correlated,2,299,242,10,12.066546524179746,500,false
1,correlated,3,299,242,10,12.066546524179746,500,false
1,correlated,4,299,242,10,12.066546524179746,500,false
1,correlated,5,299,242,10,12.066546524179746,500,false
1,correlated,6,299,242,10,12.066546524179746,500,false
1,correlated,7,299,242,10,12.066546524179746,500,false
1,correlated,8,299,242,10,12.066546524179746,500,false
1,correlated,9,299,242,10,12.066546524179746,500,false
1,correlated,10,299,242,10,12.066546524179746,500,false
1,correlated,11,299,242,10,12.066546524179746,500,false
1,correlated,12,299,242,10,12.066546524179746,500,false
1,correlated,13,299,242,10,12.066546524179746,500,false
1,correlated,14,299,242,10,12.066546524179746,500,false
1,correlated,15,299,242,10,12.066546524179746,500,false
1,correlated,16,299,242,10,12.066546524179746,500,false
1,correlated,17,299,242,10,12.066546524179746,500,false
1,correlated,18,299,242,10,12.066546524179746,500,false
1,correlated,19,299,242,10,12.066546524179746,500,false
1,correlated,20,299,242,10,12.066546524179746,500,false
1,independent,1,460,459,5,14.341682867843371,500,false
1,independent,2,460,459,5,14.341682867843371,500,false
1,independent,3,460,459,5,14.341682867843371,500,false
1,independent,4,460,459,5,14.341682867843371,500,false
1,independent,5,460,459,5,14.341682867843371,500,false
1,independent,6,460,459,5,14.341682867843371,500,false
1,independent,7,460,459,5,14.341682867843371,500,false
1,independent,8,460,459,5,14.341682867843371,500,false
1,independent,9,460,459,5,14.341682867843371,500,false
1,independent,10,460,459,5,14.341682867843371,500,false
1,independent,11,460,459,5,14.341682867843371,500,false
1,independent,12,460,459,5,14.341682867843371,500,false
1,independent,13,460,459,5,14.341682867843371,500,false
1,independent,14,460,459,5,14.341682867843371,500,false
1,independent,15,460,459,5,14.341682867843371,500,false
1,independent,16,460,459,5,14.341682867843371,500,false
1,independent,17,460,459,5,14.341682867843371,500,false
1,independent,18,460,459,5,14.341682867843371,500,false
1,independent,19,460,459,5,14.341682867843371,500,false
1,independent,20,460,459,5,14.341682867843371,500,false
2,correlated,1,342,134,12,12.123591899949066,500,false
2,correlated,2,342,134,12,12.123591899949066,500,false
2,correlated,3,342,134,12,12.123591899949066,500,false
2,correlated,4,342,134,12,12.123591899949066,500,false
2,correlated,5,342,134,12,12.123591899949066,500,false
2,correlated,6,342,134,12,12.123591899949066,500,false
2,correlated,7,342,134,12,12.123591899949066,500,false
2,correlated,8,342,134,12,12.123591899949066,500,false
2,correlated,9,342,134,12,12.123591899949066,500,false
2,correlated,10,342,134,12,12.123591899949066,500,false
2,correlated,11,342,134,12,12.123591899949066,500,false
2,correlated,12,342,134,12,12.123591899949066,500,false
2,correlated,13,342,134,12,12.123591899949066,500,false
2,correlated,14,342,134,12,12.123591899949066,500,false
2,correlated,15,342,134,12,12.123591899949066,500,false
2,correlated,16,342,134,12,12.123591899949066,500,false
2,correlated,17,342,134,12,12.123591899949066,500,false
2,correlated,18,342,134,12,12.123591899949066,500,false
2,correlated,19,342,134,12,12.123591899949066,500,false
2,correlated,20,342,134,12,12.123591899949066,500,false
2,independent,1,415,412,4,14.053231060970223,500,false
2,independent,2,415,412,4,14.053231060970223,500,false
2,independent,3,415,412,4,14.053231060970223,500,false
2,independent,4,415,412,4,14.053231060970223,500,false
2,independent,5,415,412,4,14.053231060970223,500,false
2,independent,6,415,412,4,14.053231060970223,500,false
2,independent,7,415,412,4,14.053231060970223,500,false
2,independent,8,415,412,4,14.053231060970223,500,false
2,independent,9,415,412,4,14.053231060970223,500,false
2,independent,10,415,412,4,14.053231060970223,500,false
2,independent,11,415,412,4,14.053231060970223,500,false
2,independent,12,415,412,4,14.053231060970223,500,false
2,independent,13,415,412,4,14.053231060970223,500,false
2,independent,14,415,412,4,14.053231060970223,500,false
2,independent,15,415,412,4,14.053231060970223,500,false
2,independent,16,415,412,4,14.053231060970223,500,false
2,independent,17,415,412,4,14.053231060970223,500,false
2,independent,18,415,412,4,14.053231060970223,500,false
2,independent,19,415,412,4,14.053231060970223,500,false
2,independent,20,415,412,4,14.053231060970223,500,false
3,correlated,1,292,207,12,11.942103503400116,500,false
3,correlated,2,292,207,12,11.942103503400116,500,false
3,correlated,3,292,207,12,11.942103503400116,500,false
3,correlated,4,292,207,12,11.942103503400116,500,false
3,correlated,5,292,207,12,11.942103503400116,500,false
3,correlated,6,292,207,12,11.942103503400116,500,false
3,correlated,7,292,207,12,11.942103503400116,500,false
3,correlated,8,292,207,12,11.942103503400116,500,false
3,correlated,9,292,207,12,11.942103503400116,500,false
3,correlated,10,292,207,12,11.942103503400116,500,false
3,correlated,11,292,207,12,11.942103503400116,500,false
3,correlated,12,292,207,12,11.942103503400116,500,false
3,correlated,13,292,207,12,11.942103503400116,500,false
3,correlated,14,292,207,12,11.942103503400116,500,false
3,correlated,15,292,207,12,11.942103503400116,500,false
3,correlated,16,292,207,12,11.942103503400116,500,false
3,correlated,17,292,207,12,11.942103503400116,500,false
3,correlated,18,292,207,12,11.942103503400116,500,false
3,correlated,19,292,207,12,11.942103503400116,500,false
3,correlated,20,292,207,12,11.942103503400116,500,false
3,independent,1,402,400,3,14.004245428386707,500,false
3,independent,2,402,400,3,14.004245428386707,500,false
3,independent,3,402,400,3,14.004245428386707,500,false
3,independent,4,402,400,3,14.004245428386707,500,false
3,independent,5,402,400,3,14.004245428386707,500,false
3,independent,6,402,400,3,14.004245428386707,500,false
3,independent,7,402,400,3,14.004245428386707,500,false
3,independent,8,402,400,3,14.004245428386707,500,false
3,independent,9,402,400,3,14.004245428386707,500,false
3,independent,10,402,400,3,14.004245428386707,500,false
3,independent,11,402,400,3,14.004245428386707,500,false
3,independent,12,402,400,3,14.004245428386707,500,false
3,independent,13,402,400,3,14.004245428386707,500,false
3,independent,14,402,400,3,14.004245428386707,500,false
3,independent,15,402,400,3,14.004245428386707,500,false
3,independent,16,402,400,3,14.004245428386707,500,false
3,independent,17,402,400,3,14.004245428386707,500,false
3,independent,18,402,400,3,14.004245428386707,500,false
3,independent,19,402,400,3,14.004245428386707,500,false
3,independent,20,402,400,3,14.004245428386707,500,false
4,correlated,1,352,151,10,12.277355661592283,500,false
4,correlated,2,352,151,10,12.277355661592283,500,false
4,correlated,3,352,151,10,12.277355661592283,500,false
4,correlated,4,352,151,10,12.277355661592283,500,false
4,correlated,5,352,151,10,12.277355661592283,500,false
4,correlated,6,352,151,10,12.277355661592283,500,false
4,correlated,7,352,151,10,12.277355661592283,500,false
4,correlated,8,352,151,10,12.277355661592283,500,false
4,correlated,9,352,151,10,12.277355661592283,500,false
4,correlated,10,352,151,10,12.277355661592283,500,false
4,correlated,11,352,151,10,12.277355661592283,500,false
4,correlated,12,352,151,10,12.277355661592283,500,false
4,correlated,13,352,151,10,12.277355661592283,500,false
4,correlated,14,352,151,10,12.277355661592283,500,false
4,correlated,15,352,151,10,12.277355661592283,500,false
4,correlated,16,352,151,10,12.277355661592283,500,false
4,correlated,17,352,151,10,12.277355661592283,500,false
4,correlated,18,352,151,10,12.277355661592283,500,false
4,correlated,19,352,151,10,12.277355661592283,500,false
4,correlated,20,352,151,10,12.277355661592283,500,false
4,independent,1,430,424,6,14.101734169278533,500,false
4,independent,2,430,424,6,14.101734169278533,500,false
4,independent,3,430,424,6,14.101734169278533,500,false
4,independent,4,430,424,6,14.101734169278533,500,false
4,independent,5,430,424,6,14.101734169278533,500,false
4,independent,6,430,424,6,14.101734169278533,500,false
4,independent,7,430,424,6,14.101734169278533,500,false
4,independent,8,430,424,6,14.101734169278533,500,false
4,independent,9,430,424,6,14.101734169278533,500,false
4,independent,10,430,424,6,14.101734169278533,500,false
4,independent,11,430,424,6,14.101734169278533,500,false
4,independent,12,430,424,6,14.101734169278533,500,false
4,independent,13,430,424,6,14.101734169278533,500,false
4,independent,14,430,424,6,14.101734169278533,500,false
4,independent,15,430,424,6,14.101734169278533,500,false
4,independent,16,430,424,6,14.101734169278533,500,false
4,independent,17,430,424,6,14.101734169278533,500,false
