seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged,max_rel_excess
1,correlated,20,8.003338427672418,8.003338427672418,5,0,20,-20,500,false,35.0
1,correlated,1,1.4425463993330898,1.4425463993330898,1,0,20,-20,500,false,35.0
1,correlated,2,2.0717093476675634,2.0717093476675634,1,0,20,-20,500,false,35.0
1,correlated,6,7.907662486786521,7.907662486786521,4,80,20,60,500,false,35.0
1,correlated,10,9.01692707337601,9.01692707337601,8,20,20,0,500,false,35.0
1,correlated,17,8.223046389311413,8.223046389311413,5,40,20,20,500,false,35.0
1,correlated,19,4.127620475446891,4.127620475446891,1,60,20,40,500,false,35.0
1,correlated,13,2.7866881867022952,2.7866881867022952,1,0,20,-20,500,false,35.0
1,correlated,3,4.539439209027526,4.539439209027526,1,720,20,700,500,false,35.0
1,correlated,4,1.2168487947207494,1.2168487947207494,1,0,20,-20,500,false,35.0
1,correlated,5,7.226715587807993,7.226715587807993,3,60,20,40,500,false,35.0
1,correlated,8,8.70145915698616,8.70145915698616,7,20,20,0,500,false,35.0
1,correlated,12,4.129631629352298,4.129631629352298,2,0,20,-20,500,false,35.0
1,correlated,16,8.209496304263698,8.209496304263698,6,0,20,-20,500,false,35.0
1,correlated,14,1.0737807295902728,1.0737807295902728,1,0,20,-20,500,false,35.0
1,correlated,15,6.328366800644263,6.328366800644263,2,240,20,220,500,false,35.0
1,correlated,11,2.244043222509016,2.244043222509016,1,0,20,-20,500,false,35.0
1,correlated,18,6.952828165162912,6.952828165162912,4,0,20,-20,500,false,35.0
1,correlated,7,1.785277440214681,1.785277440214681,1,0,20,-20,500,false,35.0
1,correlated,9,8.563457233738736,8.563457233738736,7,20,20,0,500,false,35.0
1,independent,20,8.003338427672418,8.003338427672418,1,0,20,-20,500,false,90.0
1,independent,1,1.4425463993330898,1.4425463993330898,1,0,20,-20,500,false,90.0
1,independent,2,2.0717093476675634,2.0717093476675634,1,0,20,-20,500,false,90.0
1,independent,6,7.907662486786521,7.907662486786521,1,0,20,-20,500,false,90.0
1,independent,10,9.01692707337601,9.01692707337601,8,20,20,0,500,false,90.0
1,independent,17,8.223046389311413,8.223046389311413,2,0,20,-20,500,false,90.0
1,independent,19,4.127620475446891,4.127620475446891,1,0,20,-20,500,false,90.0
1,independent,13,2.7866881867022952,2.7866881867022952,1,0,20,-20,500,false,90.0
1,independent,3,4.539439209027526,4.539439209027526,1,0,20,-20,500,false,90.0
1,independent,4,1.2168487947207494,1.2168487947207494,1,0,20,-20,500,false,90.0
1,independent,5,7.226715587807993,7.226715587807993,1,0,20,-20,500,false,90.0
1,independent,8,8.70145915698616,8.70145915698616,5,0,20,-20,500,false,90.0
1,independent,12,4.129631629352298,4.129631629352298,1,0,20,-20,500,false,90.0
1,independent,16,8.209496304263698,8.209496304263698,1,1820,20,1800,500,false,90.0
1,independent,14,1.0737807295902728,1.0737807295902728,1,0,20,-20,500,false,90.0
1,independent,15,6.328366800644263,6.328366800644263,1,0,20,-20,500,false,90.0
1,independent,11,2.244043222509016,2.244043222509016,1,0,20,-20,500,false,90.0
1,independent,18,6.952828165162912,6.952828165162912,1,0,20,-20,500,false,90.0
1,independent,7,1.785277440214681,1.785277440214681,1,0,20,-20,500,false,90.0
1,independent,9,8.563457233738736,8.563457233738736,3,40,20,20,500,false,90.0
2,correlated,14,4.5588812192132036,4.5588812192132036,1,0,20,-20,500,false,25.0
2,correlated,12,5.922852458824572,5.922852458824572,1,480,20,460,500,false,25.0
2,correlated,11,7.1804219873528785,7.1804219873528785,2,80,20,60,500,false,25.0
2,correlated,18,8.883093449205049,8.883093449205049,7,20,20,0,500,false,25.0
2,correlated,4,3.0744368098777777,3.0744368098777777,1,0,20,-20,500,false,25.0
2,correlated,2,7.4988396093301795,7.4988396093301795,2,200,20,180,500,false,25.0
2,correlated,5,4.236596662564784,4.236596662564784,1,0,20,-20,500,false,25.0
2,correlated,17,5.680389517226875,5.680389517226875,1,80,20,60,500,false,25.0
2,correlated,3,4.17269413803789,4.17269413803789,1,0,20,-20,500,false,25.0
2,correlated,1,9.09011253392449,9.09011253392449,8,20,20,0,500,false,25.0
2,correlated,8,8.729178977963514,8.729178977963514,6,20,20,0,500,false,25.0
2,correlated,19,6.224410360084673,6.224410360084673,2,0,20,-20,500,false,25.0
2,correlated,9,4.851589829008752,4.851589829008752,1,0,20,-20,500,false,25.0
2,correlated,7,5.949046593688786,5.949046593688786,1,520,20,500,500,false,25.0
2,correlated,10,3.5166808552901534,3.5166808552901534,1,0,20,-20,500,false,25.0
2,correlated,15,5.591349122104238,5.591349122104238,1,0,20,-20,500,false,25.0
2,correlated,6,8.950184965058941,8.950184965058941,7,20,20,0,500,false,25.0
2,correlated,20,6.2169690357384075,6.2169690357384075,2,0,20,-20,500,false,25.0
2,correlated,13,7.369419985921876,7.369419985921876,3,0,20,-20,500,false,25.0
2,correlated,16,9.573489960983029,9.573489960983029,10,20,20,0,500,false,25.0
2,independent,14,4.5588812192132036,4.5588812192132036,1,0,20,-20,500,false,59.0
2,independent,12,5.922852458824572,5.922852458824572,1,0,20,-20,500,false,59.0
2,independent,11,7.1804219873528785,7.1804219873528785,1,0,20,-20,500,false,59.0
2,independent,18,8.883093449205049,8.883093449205049,2,400,20,380,500,false,59.0
2,independent,4,3.0744368098777777,3.0744368098777777,1,0,20,-20,500,false,59.0
2,independent,2,7.4988396093301795,7.4988396093301795,1,1200,20,1180,500,false,59.0
2,independent,5,4.236596662564784,4.236596662564784,1,0,20,-20,500,false,59.0
2,independent,17,5.680389517226875,5.680389517226875,1,0,20,-20,500,false,59.0
2,independent,3,4.17269413803789,4.17269413803789,1,0,20,-20,500,false,59.0
2,independent,1,9.09011253392449,9.09011253392449,4,20,20,0,500,false,59.0
2,independent,8,8.729178977963514,8.729178977963514,2,0,20,-20,500,false,59.0
2,independent,19,6.224410360084673,6.224410360084673,1,0,20,-20,500,false,59.0
2,independent,9,4.851589829008752,4.851589829008752,1,0,20,-20,500,false,59.0
2,independent,7,5.949046593688786,5.949046593688786,1,0,20,-20,500,false,59.0
2,independent,10,3.5166808552901534,3.5166808552901534,1,0,20,-20,500,false,59.0
2,independent,15,5.591349122104238,5.591349122104238,1,0,20,-20,500,false,59.0
2,independent,6,8.950184965058941,8.950184965058941,4,0,20,-20,500,false,59.0
2,independent,20,6.2169690357384075,6.2169690357384075,1,0,20,-20,500,false,59.0
2,independent,13,7.369419985921876,7.369419985921876,2,0,20,-20,500,false,59.0
2,independent,16,9.573489960983029,9.573489960983029,9,20,20,0,500,false,59.0
3,correlated,3,5.65216475028293,5.65216475028293,1,1300,20,1280,500,false,64.0
3,correlated,11,3.0444155744515946,3.0444155744515946,1,0,20,-20,500,false,64.0
3,correlated,13,7.4730267094605765,7.4730267094605765,5,0,20,-20,500,false,64.0
3,correlated,19,3.5887055333220053,3.5887055333220053,1,0,20,-20,500,false,64.0
3,correlated,12,6.137615413147483,6.137615413147483,3,0,20,-20,500,false,64.0
3,correlated,6,3.643219397394388,3.643219397394388,1,0,20,-20,500,false,64.0
3,correlated,15,1.2174375068094725,1.2174375068094725,1,0,20,-20,500,false,64.0
3,correlated,10,2.853969106895214,2.853969106895214,1,0,20,-20,500,false,64.0
3,correlated,8,1.9180754343602242,1.9180754343602242,1,0,20,-20,500,false,64.0
3,correlated,2,7.483915799174509,7.483915799174509,4,80,20,60,500,false,64.0
3,correlated,1,7.699973683147548,7.699973683147548,5,20,20,0,500,false,64.0
3,correlated,16,1.9934412033696343,1.9934412033696343,1,0,20,-20,500,false,64.0
3,correlated,4,9.954493499100472,9.954493499100472,15,20,20,0,500,false,64.0
3,correlated,7,6.863809549698831,6.863809549698831,4,0,20,-20,500,false,64.0
3,correlated,9,8.104354831853907,8.104354831853907,6,20,20,0,500,false,64.0
3,correlated,17,9.893259156669753,9.893259156669753,15,20,20,0,500,false,64.0
3,correlated,20,2.7099864359759276,2.7099864359759276,1,0,20,-20,500,false,64.0
3,correlated,5,5.110087295709019,5.110087295709019,2,0,20,-20,500,false,64.0
3,correlated,18,2.723084914811596,2.723084914811596,1,0,20,-20,500,false,64.0
3,correlated,14,4.308950600483316,4.308950600483316,1,0,20,-20,500,false,64.0
3,independent,3,5.65216475028293,5.65216475028293,1,0,20,-20,500,false,69.0
3,independent,11,3.0444155744515946,3.0444155744515946,1,0,20,-20,500,false,69.0
3,independent,13,7.4730267094605765,7.4730267094605765,1,0,20,-20,500,false,69.0
3,independent,19,3.5887055333220053,3.5887055333220053,1,0,20,-20,500,false,69.0
3,independent,12,6.137615413147483,6.137615413147483,1,0,20,-20,500,false,69.0
3,independent,6,3.643219397394388,3.643219397394388,1,0,20,-20,500,false,69.0
3,independent,15,1.2174375068094725,1.2174375068094725,1,0,20,-20,500,false,69.0
3,independent,10,2.853969106895214,2.853969106895214,1,0,20,-20,500,false,69.0
3,independent,8,1.9180754343602242,1.9180754343602242,1,0,20,-20,500,false,69.0
3,independent,2,7.483915799174509,7.483915799174509,1,1400,20,1380,500,false,69.0
3,independent,1,7.699973683147548,7.699973683147548,2,0,20,-20,500,false,69.0
3,independent,16,1.9934412033696343,1.9934412033696343,1,0,20,-20,500,false,69.0
3,independent,4,9.954493499100472,9.954493499100472,6,140,20,120,500,false,69.0
3,independent,7,6.863809549698831,6.863809549698831,1,0,20,-20,500,false,69.0
3,independent,9,8.104354831853907,8.104354831853907,2,60,20,40,500,false,69.0
3,independent,17,9.893259156669753,9.893259156669753,6,0,20,-20,500,false,69.0
3,independent,20,2.7099864359759276,2.7099864359759276,1,0,20,-20,500,false,69.0
3,independent,5,5.110087295709019,5.110087295709019,1,0,20,-20,500,false,69.0
3,independent,18,2.723084914811596,2.723084914811596,1,0,20,-20,500,false,69.0
3,independent,14,4.308950600483316,4.308950600483316,1,0,20,-20,500,false,69.0
4,correlated,13,6.055141213576681,6.055141213576681,2,0,20,-20,500,false,38.0
4,correlated,10,1.4190690186137953,1.4190690186137953,1,0,20,-20,500,false,38.0
4,correlated,20,8.65921416647242,8.65921416647242,7,20,20,0,500,false,38.0
4,correlated,14,8.465812810503131,8.465812810503131,6,20,20,0,500,false,38.0
4,correlated,6,6.484064578443942,6.484064578443942,1,280,20,260,500,false,38.0
4,correlated,7,8.334051103790188,8.334051103790188,5,40,20,20,500,false,38.0
4,correlated,16,5.3611950386871845,5.3611950386871845,1,0,20,-20,500,false,38.0
4,correlated,5,6.616618549014292,6.616618549014292,1,520,20,500,500,false,38.0
4,correlated,17,6.634054472166562,6.634054472166562,2,0,20,-20,500,false,38.0
4,correlated,15,7.189507757473125,7.189507757473125,3,0,20,-20,500,false,38.0
4,correlated,12,3.1288072466426873,3.1288072466426873,1,0,20,-20,500,false,38.0
4,correlated,9,4.6336191511034635,4.6336191511034635,1,0,20,-20,500,false,38.0
4,correlated,11,5.147143824097016,5.147143824097016,1,0,20,-20,500,false,38.0
4,correlated,2,3.919978584044424,3.919978584044424,1,0,20,-20,500,false,38.0
4,correlated,1,6.765041131195006,6.765041131195006,1,780,20,760,500,false,38.0
4,correlated,19,8.358598828800837,8.358598828800837,6,0,20,-20,500,false,38.0
4,correlated,8,8.723585584926285,8.723585584926285,7,20,20,0,500,false,38.0
4,correlated,4,4.185982905798236,4.185982905798236,1,0,20,-20,500,false,38.0
4,correlated,3,4.855736065538571,4.855736065538571,1,0,20,-20,500,false,38.0
4,correlated,18,8.121593405285225,8.121593405285225,5,20,20,0,500,false,38.0
4,independent,13,6.055141213576681,6.055141213576681,1,0,20,-20,500,false,92.0
4,independent,10,1.4190690186137953,1.4190690186137953,1,0,20,-20,500,false,92.0
4,independent,20,8.65921416647242,8.65921416647242,3,40,20,20,500,false,92.0
4,independent,14,8.465812810503131,8.465812810503131,2,0,20,-20,500,false,92.0
4,independent,6,6.484064578443942,6.484064578443942,1,0,20,-20,500,false,92.0
4,independent,7,8.334051103790188,8.334051103790188,1,0,20,-20,500,false,92.0
4,independent,16,5.3611950386871845,5.3611950386871845,1,0,20,-20,500,false,92.0
4,independent,5,6.616618549014292,6.616618549014292,1,0,20,-20,500,false,92.0
4,independent,17,6.634054472166562,6.634054472166562,1,0,20,-20,500,false,92.0
4,independent,15,7.189507757473125,7.189507757473125,1,0,20,-20,500,false,92.0
4,independent,12,3.1288072466426873,3.1288072466426873,1,0,20,-20,500,false,92.0
4,independent,9,4.6336191511034635,4.6336191511034635,1,0,20,-20,500,false,92.0
4,independent,11,5.147143824097016,5.147143824097016,1,0,20,-20,500,false,92.0
4,independent,2,3.919978584044424,3.919978584044424,1,0,20,-20,500,false,92.0
4,independent,1,6.765041131195006,6.765041131195006,1,0,20,-20,500,false,92.0
4,independent,19,8.358598828800837,8.358598828800837,1,1860,20,1840,500,false,92.0
4,independent,8,8.723585584926285,8.723585584926285,4,20,20,0,500,false,92.0
4,independent,4,4.185982905798236,4.185982905798236,1,0,20,-20,500,false,92.0
4,independent,3,4.855736065538571,4.855736065538571,1,0,20,-20,500,false,92.0
4,independent,18,8.121593405285225,8.121593405285225,1,0,20,-20,500,false,92.0
5,correlated,11,5.250293418322175,5.250293418322175,2,0,20,-20,500,false,35.0
5,correlated,6,9.944591562508581,9.944591562508581,12,20,20,0,500,false,35.0
5,correlated,4,4.810189251510883,4.810189251510883,2,0,20,-20,500,false,35.0
5,correlated,3,8.830455465848969,8.830455465848969,7,20,20,0,500,false,35.0
5,correlated,8,1.2442212011906162,1.2442212011906162,1,0,20,-20,500,false,35.0
5,correlated,19,2.975835469640247,2.975835469640247,1,0,20,-20,500,false,35.0
5,correlated,17,6.830795193840366,6.830795193840366,2,200,20,180,500,false,35.0
5,correlated,1,2.835773134886159,2.835773134886159,1,0,20,-20,500,false,35.0
5,correlated,14,2.423343646385962,2.423343646385962,1,0,20,-20,500,false,35.0
5,correlated,15,4.834336059732399,4.834336059732399,2,0,20,-20,500,false,35.0
5,correlated,18,5.356852012535277,5.356852012535277,1,720,20,700,500,false,35.0
5,correlated,20,6.516360234088303,6.516360234088303,3,0,20,-20,500,false,35.0
5,correlated,10,9.813428729543975,9.813428729543975,12,20,20,0,500,false,35.0
5,correlated,13,7.550691290798455,7.550691290798455,4,0,20,-20,500,false,35.0
5,correlated,16,2.4915033917241622,2.4915033917241622,1,0,20,-20,500,false,35.0
5,correlated,2,9.01554519037087,9.01554519037087,8,20,20,0,500,false,35.0
5,correlated,5,5.068397739082559,5.068397739082559,1,300,20,280,500,false,35.0
5,correlated,7,8.099493903712204,8.099493903712204,5,20,20,0,500,false,35.0
5,correlated,12,7.93149894112151,7.93149894112151,4,40,20,20,500,false,35.0
5,correlated,9,3.9428720240136164,3.9428720240136164,1,0,20,-20,500,false,35.0
5,independent,11,5.250293418322175,5.250293418322175,1,0,20,-20,500,false,80.0
5,independent,6,9.944591562508581,9.944591562508581,10,40,20,20,500,false,80.0
5,independent,4,4.810189251510883,4.810189251510883,1,0,20,-20,500,false,80.0
5,independent,3,8.830455465848969,8.830455465848969,3,80,20,60,500,false,80.0
