seed,mode,agent_idx,cons,sec_count,n_sec_types,utility,tat_iters,converged
3,independent,9,360,19,6,10.473636724609314,500,false
3,independent,10,360,19,6,10.473636724609314,500,false
3,independent,11,360,19,6,10.473636724609314,500,false
3,independent,12,360,19,6,10.473636724609314,500,false
3,independent,13,360,19,6,10.473636724609314,500,false
3,independent,14,360,19,6,10.473636724609314,500,false
3,independent,15,360,19,6,10.473636724609314,500,false
3,independent,16,360,19,6,10.473636724609314,500,false
3,independent,17,360,19,6,10.473636724609314,500,false
3,independent,18,360,19,6,10.473636724609314,500,false
3,independent,19,360,19,6,10.473636724609314,500,false
3,independent,20,360,19,6,10.473636724609314,500,false
4,correlated,1,412,21,14,10.853167685835103,500,false
4,correlated,2,412,21,14,10.853167685835103,500,false
4,correlated,3,412,21,14,10.853167685835103,500,false
4,correlated,4,412,21,14,10.853167685835103,500,false
4,correlated,5,412,21,14,10.853167685835103,500,false
4,correlated,6,412,21,14,10.853167685835103,500,false
4,correlated,7,412,21,14,10.853167685835103,500,false
4,correlated,8,412,21,14,10.853167685835103,500,false
4,correlated,9,412,21,14,10.853167685835103,500,false
4,correlated,10,412,21,14,10.853167685835103,500,false
4,correlated,11,412,21,14,10.853167685835103,500,false
4,correlated,12,412,21,14,10.853167685835103,500,false
4,correlated,13,412,21,14,10.853167685835103,500,false
4,correlated,14,412,21,14,10.853167685835103,500,false
4,correlated,15,412,21,14,10.853167685835103,500,false
4,correlated,16,412,21,14,10.853167685835103,500,false
4,correlated,17,412,21,14,10.853167685835103,500,false
4,correlated,18,412,21,14,10.853167685835103,500,false
4,correlated,19,412,21,14,10.853167685835103,500,false
4,correlated,20,412,21,14,10.853167685835103,500,false
4,independent,1,407,18,7,10.794279129852667,500,false
4,independent,2,407,18,7,10.794279129852667,500,false
4,independent,3,407,18,7,10.794279129852667,500,false
4,independent,4,407,18,7,10.794279129852667,500,false
4,independent,5,407,18,7,10.794279129852667,500,false
4,independent,6,407,18,7,10.794279129852667,500,false
4,independent,7,407,18,7,10.794279129852667,500,false
4,independent,8,407,18,7,10.794279129852667,500,false
4,independent,9,407,18,7,10.794279129852667,500,false
4,independent,10,407,18,7,10.794279129852667,500,false
4,independent,11,407,18,7,10.794279129852667,500,false
4,independent,12,407,18,7,10.794279129852667,500,false
4,independent,13,407,18,7,10.794279129852667,500,false
4,independent,14,407,18,7,10.794279129852667,500,false
4,independent,15,407,18,7,10.794279129852667,500,false
4,independent,16,407,18,7,10.794279129852667,500,false
4,independent,17,407,18,7,10.794279129852667,500,false
4,independent,18,407,18,7,10.794279129852667,500,false
4,independent,19,407,18,7,10.794279129852667,500,false
4,independent,20,407,18,7,10.794279129852667,500,false
5,correlated,1,384,23,13,10.707251252378157,500,false
5,correlated,2,384,23,13,10.707251252378157,500,false
5,correlated,3,384,23,13,10.707251252378157,500,false
5,correlated,4,384,23,13,10.707251252378157,500,false
5,correlated,5,384,23,13,10.707251252378157,500,false
5,correlated,6,384,23,13,10.707251252378157,500,false
5,correlated,7,384,23,13,10.707251252378157,500,false
5,correlated,8,384,23,13,10.707251252378157,500,false
5,correlated,9,384,23,13,10.707251252378157,500,false
5,correlated,10,384,23,13,10.707251252378157,500,false
5,correlated,11,384,23,13,10.707251252378157,500,false
5,correlated,12,384,23,13,10.707251252378157,500,false
5,correlated,13,384,23,13,10.707251252378157,500,false
5,correlated,14,384,23,13,10.707251252378157,500,false
5,correlated,15,384,23,13,10.707251252378157,500,false
5,correlated,16,384,23,13,10.707251252378157,500,false
5,correlated,17,384,23,13,10.707251252378157,500,false
5,correlated,18,384,23,13,10.707251252378157,500,false
5,correlated,19,384,23,13,10.707251252378157,500,false
5,correlated,20,384,23,13,10.707251252378157,500,false
5,independent,1,376,19,9,10.64383724356258,500,false
5,independent,2,376,19,9,10.64383724356258,500,false
5,independent,3,376,19,9,10.64383724356258,500,false
5,independent,4,376,19,9,10.64383724356258,500,false
5,independent,5,376,19,9,10.64383724356258,500,false
5,independent,6,376,19,9,10.64383724356258,500,false
5,independent,7,376,19,9,10.64383724356258,500,false
5,independent,8,376,19,9,10.64383724356258,500,false
5,independent,9,376,19,9,10.64383724356258,500,false
5,independent,10,376,19,9,10.64383724356258,500,false
5,independent,11,376,19,9,10.64383724356258,500,false
5,independent,12,376,19,9,10.64383724356258,500,false
5,independent,13,376,19,9,10.64383724356258,500,false
5,independent,14,376,19,9,10.64383724356258,500,false
5,independent,15,376,19,9,10.64383724356258,500,false
5,independent,16,376,19,9,10.64383724356258,500,false
5,independent,17,376,19,9,10.64383724356258,500,false
5,independent,18,376,19,9,10.64383724356258,500,false
5,independent,19,376,19,9,10.64383724356258,500,false
5,independent,20,376,19,9,10.64383724356258,500,false
6,correlated,1,391,20,12,10.687257265840316,500,false
6,correlated,2,391,20,12,10.687257265840316,500,false
6,correlated,3,391,20,12,10.687257265840316,500,false
6,correlated,4,391,20,12,10.687257265840316,500,false
6,correlated,5,391,20,12,10.687257265840316,500,false
6,correlated,6,391,20,12,10.687257265840316,500,false
6,correlated,7,391,20,12,10.687257265840316,500,false
6,correlated,8,391,20,12,10.687257265840316,500,false
6,correlated,9,391,20,12,10.687257265840316,500,false
