seed,mode,sec_idx,sec_mean,sec_var,equil_price,total_demand,supply,excess,tat_iters,converged
1,correlated,4,1.2168487947207494,1.2168487947207494,6,0,20,-20,500,false
1,correlated,3,4.539439209027526,4.539439209027526,20,0,20,-20,500,false
1,correlated,2,2.0717093476675634,2.0717093476675634,9,0,20,-20,500,false
1,correlated,8,8.70145915698616,8.70145915698616,60,20,20,0,500,false
1,correlated,11,2.244043222509016,2.244043222509016,10,0,20,-20,500,false
1,correlated,1,1.4425463993330898,1.4425463993330898,8,0,20,-20,500,false
1,correlated,16,8.209496304263698,8.209496304263698,47,20,20,0,500,false
1,correlated,18,6.952828165162912,6.952828165162912,35,20,20,0,500,false
1,correlated,15,6.328366800644263,6.328366800644263,30,40,20,20,500,false
1,correlated,10,9.01692707337601,9.01692707337601,90,20,20,0,500,false
1,correlated,14,1.0737807295902728,1.0737807295902728,6,0,20,-20,500,false
1,correlated,6,7.907662486786521,7.907662486786521,43,20,20,0,500,false
1,correlated,19,4.127620475446891,4.127620475446891,17,100,20,80,500,false
1,correlated,7,1.785277440214681,1.785277440214681,8,0,20,-20,500,false
1,correlated,5,7.226715587807993,7.226715587807993,40,0,20,-20,500,false
1,correlated,20,8.003338427672418,8.003338427672418,44,20,20,0,500,false
1,correlated,13,2.7866881867022952,2.7866881867022952,12,20,20,0,500,false
1,correlated,17,8.223046389311413,8.223046389311413,46,20,20,0,500,false
1,correlated,9,8.563457233738736,8.563457233738736,55,20,20,0,500,false
1,correlated,12,4.129631629352298,4.129631629352298,18,0,20,-20,500,false
1,independent,4,1.2168487947207494,1.2168487947207494,4,360,20,340,500,false
1,independent,3,4.539439209027526,4.539439209027526,22,0,20,-20,500,false
1,independent,2,2.0717093476675634,2.0717093476675634,10,0,20,-20,500,false
1,independent,8,8.70145915698616,8.70145915698616,63,20,20,0,500,false
1,independent,11,2.244043222509016,2.244043222509016,9,60,20,40,500,false
1,independent,1,1.4425463993330898,1.4425463993330898,9,0,20,-20,500,false
1,independent,16,8.209496304263698,8.209496304263698,52,0,20,-20,500,false
1,independent,18,6.952828165162912,6.952828165162912,38,0,20,-20,500,false
1,independent,15,6.328366800644263,6.328366800644263,32,40,20,20,500,false
1,independent,10,9.01692707337601,9.01692707337601,95,20,20,0,500,false
1,independent,14,1.0737807295902728,1.0737807295902728,4,0,20,-20,500,false
